id,ano,municipio,codigo_postal,total_fugas,tipo_de_fuga,fecha
2,2016,Sacañet,12469,1,Tubería general,12/1/2016
3,2016,Canales (Sacañet),12469,1,Interior vivienda,12/1/2016
5,2016,Artana,12527,1,Acometida,13/1/2016
6,2016,Artana,12527,1,Tubería general,18/1/2016
7,2016,Puebla de Arenoso,12428,1,Llave de paso de la general,19/1/2016
14,2016,Torás,12431,1,Acometida,1/2/2016
19,2016,Matet,12415,0,,3/2/2016
20,2016,Alfondeguilla,12609,0,,3/2/2016
27,2016,Rosell,12511,0,,11/2/2016
36,2016,Eslida,12528,0,,2/3/2016
38,2016,Castellfort,12159,1,Llave de paso de la acometida,8/3/2013
39,2016,Castellfort,12159,1,Acometida,8/3/2016
40,2016,Ludiente,12123,0,,9/3/2016
42,2016,La Torre d'En Besora,12161,1,Acometida,10/3/2016
47,2016,Vallibona,12315,1,Interior vivienda,30/3/2016
48,2016,Jérica,12450,0,,5/4/2016
49,2016,Eslida,12528,1,Sin identificación,6/4/2016
50,2016,Alfondeguilla,12609,0,,6/4/2016
54,2016,Soneja,12480,1,Acometida,12/4/2016
56,2016,Gaibiel,12415,1,Llave de paso de la general,13/4/2016
64,2016,Pavías,12449,1,Acometida,25/4/2016
65,2016,Pavías,12449,1,Tubería general,25/4/2016
67,2016,Xodos,12134,1,Acometida,26/4/2016
68,2016,Sot de Ferrer,12489,1,Acometida,27/4/2016
75,2016,Alquerías (Montanejos),12448,1,Tubería general,16/5/2016
80,2016,Jérica,12450,1,Llave de paso de la general,17/5/2016
81,2016,Jérica,12450,1,Llave de paso de la general,17/5/2016
82,2016,Castellfort,12159,1,Acometida,18/5/2016
84,2016,Artana,12527,1,Sin identificación,23/5/2016
89,2016,Castillo de Villamalefa,12123,1,Acometida,30/5/2016
90,2016,Todolella,12312,1,Boca de Riego,7/6/2016
95,2016,Jérica,12450,0,,13/6/2016
99,2016,Torás,12431,1,Acometida,20/6/2016
100,2016,Torás,12431,1,Tubería general,20/6/2016
104,2016,Todolella,12312,1,Acometida,22/6/2016
109,2016,Cinctorres,12318,1,Llave de paso de la acometida,30/6/2016
110,2016,Artana,12527,1,Interior vivienda,1/7/2016
112,2016,Soneja,12480,2,Tubería general,4/7/2016
116,2016,Cinctorres,12318,1,Llave de paso de la acometida,5/7/2016
119,2016,Aín,12222,0,,7/7/2016
120,2016,Villahermosa del Río,12124,0,,11/7/2016
121,2016,Montanejos,12448,0,,11/7/2016
125,2016,Benafigos,12134,1,Tubería general,12/7/2016
133,2016,Benafigos,12134,1,Acometida,19/7/2016
134,2016,Alfondeguilla,12609,1,Acometida,20/7/2016
143,2016,Pobla de Benifassà,12599,1,Acometida,27/7/2016
149,2016,Soneja,12480,1,Tubería general,3/8/2016
155,2016,Vallibona,12315,1,Acometida,9/8/2016
156,2016,Figueroles,12122,1,Acometida,10/8/2016
157,2016,Figueroles,12122,1,Acometida,10/8/2016
158,2016,Figueroles,12122,1,Acometida,10/8/2016
161,2016,Caudiel,12440,1,Acometida,30/8/2016
168,2016,Figueroles,12122,1,Boca de Riego,22/8/2016
170,2016,Figueroles,12122,1,Interior vivienda,24/8/2016
172,2016,Figueroles,12122,1,Acometida,24/8/2016
174,2016,Figueroles,12122,1,Boca de Riego,23/8/2016
175,2016,Figueroles,12122,1,Interior vivienda,23/8/2016
176,2016,Pavías,12449,1,Tubería general,17/8/2016
177,2016,Matet,12415,1,Sin identificación,5/9/2016
184,2016,Alfondeguilla,12609,1,Acometida,8/9/2016
190,2016,Villahermosa del Río,12124,1,Sin identificación,15/9/2016
195,2016,Eslida,12528,1,Acometida,20/9/2016
196,2016,Gaibiel,12415,1,Tubería general,27/9/2016
197,2016,Forcall,12310,1,Acometida,29/9/2016
200,2016,Vall de Almonacid,12141,1,Acometida,3/10/2016
201,2016,Villamalur,12224,1,Acometida,4/10/2016
203,2016,Diputación,12004,1,Interior vivienda,4/10/2016
204,2016,Caudiel,12440,1,Acometida,5/10/2016
208,2016,Montanejos,12448,1,Tubería general,6/10/2016
209,2016,Montanejos,12448,1,Acometida,6/10/2016
211,2016,Montanejos,12448,1,Acometida,6/10/2016
213,2016,Gaibiel,12415,1,Acometida,7/10/2016
214,2016,Gaibiel,12415,1,Tubería general,7/10/2016
216,2016,Eslida,12528,1,Acometida,11/10/2016
219,2016,Xodos,12134,1,Llave de paso de la acometida,13/10/2016
222,2016,Alfondeguilla,12609,1,Tubería general,20/1/2016
226,2016,Argelita,12230,1,Boca de Riego,26/10/2016
227,2016,Argelita,12230,1,Boca de Riego,26/10/2016
228,2016,Argelita,12230,1,Boca de Riego,26/10/2016
241,2016,La Torre d'En Besora,12161,1,Tubería general,9/11/2016
244,2016,Figueroles,12122,1,Tubería general,9/11/2016
248,2016,Vall de Almonacid,12141,1,Tubería general,14/11/2016
251,2016,Vall de Almonacid,12141,1,Acometida,14/11/2016
253,2016,Sot de Ferrer,12489,0,,21/11/2016
257,2016,Torás,12431,1,Acometida,24/11/2016
259,2016,Torás,12431,1,Acometida,24/11/2016
266,2016,Catí,12513,1,Tubería general,12/12/2016
268,2016,Catí,12513,1,Interior vivienda,12/12/2016
271,2016,Caudiel,12440,1,Tubería general,20/12/2016
274,2017,Alfondeguilla,12609,1,Acometida,4/1/2017
275,2017,Vall de Almonacid,12414,1,Tubería general,10/1/2017
279,2017,Jérica,12450,1,Acometida,12/1/2017
283,2017,Alfondeguilla,12609,1,Tubería general,18/1/2017
285,2017,Caudiel,12440,1,Tubería general,19/1/2017
287,2017,Torás,12431,1,Interior vivienda,25/1/2017
288,2017,Torás,12431,1,Tubería general,25/1/2017
295,2017,Aín,12222,1,Acometida,8/2/2017
297,2017,Sacañet,12469,1,Acometida,14/2/2017
300,2017,Alfondeguilla,12609,0,,16/2/2017
301,2017,Geldo,12412,1,Interior vivienda,21/2/2017
305,2017,Jérica,12450,0,,28/2/2017
307,2017,Caudiel,12440,1,Tubería general,2/3/2017
309,2017,Ayódar,12224,1,Tubería general,7/3/2017
310,2017,Alcudia de Veo,12222,1,Boca de Riego,14/3/2017
314,2017,Villahermosa del Río,12124,1,Acometida,16/3/2017
315,2017,La Mata de Morella,12312,0,,22/3/2017
319,2017,Caudiel,12440,1,Acometida,28/3/2017
320,2017,Caudiel,12440,1,Acometida,28/3/2017
321,2017,Caudiel,12440,1,Tubería general,28/3/2017
322,2017,Caudiel,12440,1,Llave de paso de la acometida,28/3/2017
323,2017,Eslida,12528,1,Tubería general,29/3/2017
328,2017,Chóvar,12499,1,Interior vivienda,20/4/2017
330,2017,Forcall,12310,1,Tubería general,25/4/2017
331,2017,Pobla de Benifassà,12599,1,Tubería general,26/4/2017
332,2017,Pobla de Benifassà,12599,1,Acometida,26/4/2017
337,2017,Alquerías (Montanejos),12448,1,Tubería general,8/5/2017
342,2017,Rosell,12511,1,Tubería general,11/5/2017
343,2017,Boixar (Pobla de Benifassà),12599,1,Acometida,15/5/2017
344,2017,Eslida,12528,1,Tubería general,16/5/2017
347,2017,Montanejos,12448,1,Acometida,23/5/2017
353,2017,Forcall,12310,1,Acometida,29/5/2017
354,2017,Pobla de Benifassà,12599,1,Acometida,30/5/2017
359,2017,Caudiel,12440,1,Tubería general,13/6/2017
369,2017,Todolella,12312,1,Tubería general,22/6/2017
371,2017,Todolella,12312,1,Tubería general,27/6/2017
372,2017,Todolella,12312,1,Tubería general,27/6/2017
374,2017,Cinctorres,12318,1,Tubería general,28/6/2017
380,2017,Cinctorres,12318,1,Acometida,10/7/2017
381,2017,Cinctorres,12318,1,Acometida,10/7/2017
384,2017,Villahermosa del Río,12124,1,Tubería general,11/7/2017
386,2017,Ludiente,12123,1,Acometida,11/7/2017
392,2017,Villahermosa del Río,12124,1,Acometida,17/7/2017
393,2017,Herbés,12317,1,Tubería general,18/7/2017
